"mom","impervious","shrub","tree","forest","grass","disturbed","pasture","other","water","alltrees","total","height_m","total_basal_area_sqcm"
"1024PWP","0","0","0","361","0","0","0","0","0","361","361",5.8,42
"1026PWP","0","0","0","361","0","0","0","0","0","361","361",3,5
"1033PWP","0","0","0","361","0","0","0","0","0","361","361",4,62
"1037PWP","0","0","0","361","0","0","0","0","0","361","361",7.4,72
"1038PWP","0","0","0","361","0","0","0","0","0","361","361",5.2,74
"1039PWP","0","0","0","361","0","0","0","0","0","361","361",4.2,46
"1040PWP","0","0","0","361","0","0","0","0","0","361","361",5.6,65
"1041PWP","0","0","0","361","0","0","0","0","0","361","361",5.8,92
"1042PWP","0","0","0","361","0","0","0","0","0","361","361",5.2,54
"1043PWP","0","0","0","361","0","0","0","0","0","361","361",4.4,62
"1044PWP","0","0","0","361","0","0","0","0","0","361","361",4,62
"1046PWP","0","0","0","361","0","0","0","0","0","361","361",2.8,46
"1050PWP","184","0","0","0","177","0","0","0","0","0","361",5.4,189
"1051PWP","156","0","20","0","185","0","0","0","0","20","361",7,484
"1057PWP","0","0","0","361","0","0","0","0","0","361","361",4.4,23
"1059PWP","0","0","0","361","0","0","0","0","0","361","361",5,24
"1063PWP","0","0","0","361","0","0","0","0","0","361","361",4.8,29
"1070PWP","79","0","170","6","106","0","0","0","0","176","361",3.6,29
"1075PWP","0","0","0","361","0","0","0","0","0","361","361",NA,NA
"1081PWP","95","0","142","7","117","0","0","0","0","149","361",4.4,80
"135thSt","110","0","37","0","214","0","0","0","0","37","361",8,894
"1613Sunbury","181","0","1","0","179","0","0","0","0","1","361",6.2,308
"1613SunburyDr","170","0","1","0","190","0","0","0","0","1","361",6.2,308
"1615Alaska","135","0","11","0","215","0","0","0","0","11","361",4.8,269
"1716Fairfax","226","0","50","0","85","0","0","0","0","50","361",4,224
"2201Semmes","332","0","0","0","29","0","0","0","0","0","361",3.5,92
"2713Glenan","146","0","0","0","215","0","0","0","0","0","361",3.8,44
"2906Decatur","148","0","0","0","213","0","0","0","0","0","361",NA,314
"3022Porter","247","0","14","0","100","0","0","0","0","14","361",NA,NA
"311Dundee","86","0","134","0","141","0","0","0","0","134","361",NA,NA
"3120Cofer","166","0","13","0","182","0","0","0","0","13","361",4.4,685
"3404Delano","151","0","46","0","164","0","0","0","0","46","361",6.4,874
"356PWP","73","0","3","285","0","0","0","0","0","288","361",4.9,38
"358PWP","57","0","139","165","0","0","0","0","0","304","361",NA,NA
"359PWP","7","0","50","304","0","0","0","0","0","354","361",7.1,50
"3600McGuire","105","0","157","0","99","0","0","0","0","157","361",5.9,103
"360PWP","9","0","66","286","0","0","0","0","0","352","361",5.3,50
"3617Dorset","69","0","0","0","292","0","0","0","0","0","361",NA,NA
"361PWP","48","0","0","313","0","0","0","0","0","313","361",6.6,39
"364PWP","0","0","0","361","0","0","0","0","0","361","361",6.2,62
"366PWP","0","0","112","249","0","0","0","0","0","361","361",4.4,41
"367PWP","0","0","0","361","0","0","0","0","0","361","361",5.8,42
"369PWP","0","0","1","360","0","0","0","0","0","361","361",4.2,32
"3711FalstoneA","98","0","40","0","223","0","0","0","0","40","361",NA,669
"3800EBroadRockRd","196","0","0","0","165","0","0","0","0","0","361",8,1028
"4320ReservoirLn","235","0","55","0","71","0","0","0","0","55","361",6.2,486
"4500Adelaide","131","0","120","0","110","0","0","0","0","120","361",4.8,320
"4623Brittania","172","0","0","0","189","0","0","0","0","0","361",4,224
"4908Turner","35","0","0","0","326","0","0","0","0","0","361",5.9,472
"5000Bryce","76","0","128","0","157","0","0","0","0","128","361",NA,508
"5050BrookburyBlvd","93","0","222","0","46","0","0","0","0","222","361",9.9,299
"5901CountryManorLn","106","0","0","0","255","0","0","0","0","0","361",3.5,161
"6135Cogbill","169","0","0","0","192","0","0","0","0","0","361",NA,NA
"6200Halrose","202","0","46","0","113","0","0","0","0","46","361",NA,NA
"6306PhobusDr","247","0","22","0","92","0","0","0","0","22","361",2.6,49
"6525Corcoran","219","0","0","0","142","0","0","0","0","0","361",4,161
"6601IrongateSq","53","0","0","0","308","0","0","0","0","0","361",NA,NA
"6618Cyrus","233","0","1","0","127","0","0","0","0","1","361",5.7,360
"6716WilmothDr","240","0","75","0","46","0","0","0","0","75","361",NA,NA
"7508HilmarDr","220","0","59","0","82","0","0","0","0","59","361",4.4,535
"7618RobinwoodDr","40","0","285","0","36","0","0","0","0","285","361",3.3,87
"7900MillRiverLn","229","0","0","0","132","0","0","0","0","0","361",7.7,358
"tree2CountryManorLn","309","0","0","0","52","0","0","0","0","0","361",4,58
