"mom","impervious","shrub","tree","forest","grass","disturbed","pasture","other","water","alltrees","total","height_m","total_basal_area_sqcm"
"1024PWP","0","0","0","81","0","0","0","0","0","81","81",5.8,42
"1026PWP","0","0","0","81","0","0","0","0","0","81","81",3,5
"1033PWP","0","0","0","81","0","0","0","0","0","81","81",4,62
"1037PWP","0","0","0","81","0","0","0","0","0","81","81",7.4,72
"1038PWP","0","0","0","81","0","0","0","0","0","81","81",5.2,74
"1039PWP","0","0","0","81","0","0","0","0","0","81","81",4.2,46
"1040PWP","0","0","0","81","0","0","0","0","0","81","81",5.6,65
"1041PWP","0","0","0","81","0","0","0","0","0","81","81",5.8,92
"1042PWP","0","0","0","81","0","0","0","0","0","81","81",5.2,54
"1043PWP","0","0","0","81","0","0","0","0","0","81","81",4.4,62
"1044PWP","0","0","0","81","0","0","0","0","0","81","81",4,62
"1046PWP","0","0","0","81","0","0","0","0","0","81","81",2.8,46
"1050PWP","36","0","0","0","45","0","0","0","0","0","81",5.4,189
"1051PWP","60","0","0","0","21","0","0","0","0","0","81",7,484
"1057PWP","0","0","0","81","0","0","0","0","0","81","81",4.4,23
"1059PWP","0","0","0","81","0","0","0","0","0","81","81",5,24
"1063PWP","0","0","0","81","0","0","0","0","0","81","81",4.8,29
"1070PWP","30","0","25","0","26","0","0","0","0","25","81",3.6,29
"1075PWP","0","0","0","81","0","0","0","0","0","81","81",NA,NA
"1081PWP","4","0","25","0","52","0","0","0","0","25","81",4.4,80
"135thSt","13","0","3","0","65","0","0","0","0","3","81",8,894
"1613Sunbury","57","0","0","0","24","0","0","0","0","0","81",6.2,308
"1613SunburyDr","15","0","0","0","66","0","0","0","0","0","81",6.2,308
"1615Alaska","12","0","0","0","69","0","0","0","0","0","81",4.8,269
"1716Fairfax","41","0","17","0","23","0","0","0","0","17","81",4,224
"2201Semmes","69","0","0","0","12","0","0","0","0","0","81",3.5,92
"2713Glenan","7","0","0","0","74","0","0","0","0","0","81",3.8,44
"2906Decatur","11","0","0","0","70","0","0","0","0","0","81",NA,314
"3022Porter","41","0","1","0","39","0","0","0","0","1","81",NA,NA
"311Dundee","9","0","47","0","25","0","0","0","0","47","81",NA,NA
"3120Cofer","49","0","1","0","31","0","0","0","0","1","81",4.4,685
"3404Delano","3","0","4","0","74","0","0","0","0","4","81",6.4,874
"356PWP","2","0","1","78","0","0","0","0","0","79","81",4.9,38
"358PWP","2","0","46","33","0","0","0","0","0","79","81",NA,NA
"359PWP","0","0","0","81","0","0","0","0","0","81","81",7.1,50
"3600McGuire","10","0","34","0","37","0","0","0","0","34","81",5.9,103
"360PWP","0","0","3","78","0","0","0","0","0","81","81",5.3,50
"3617Dorset","2","0","0","0","79","0","0","0","0","0","81",NA,NA
"361PWP","0","0","0","81","0","0","0","0","0","81","81",6.6,39
"364PWP","0","0","0","81","0","0","0","0","0","81","81",6.2,62
"366PWP","0","0","3","78","0","0","0","0","0","81","81",4.4,41
"367PWP","0","0","0","81","0","0","0","0","0","81","81",5.8,42
"369PWP","0","0","0","81","0","0","0","0","0","81","81",4.2,32
"3711FalstoneA","1","0","0","0","80","0","0","0","0","0","81",NA,669
"3800EBroadRockRd","29","0","0","0","52","0","0","0","0","0","81",8,1028
"4320ReservoirLn","43","0","18","0","20","0","0","0","0","18","81",6.2,486
"4500Adelaide","9","0","15","0","57","0","0","0","0","15","81",4.8,320
"4623Brittania","45","0","0","0","36","0","0","0","0","0","81",4,224
"4908Turner","0","0","0","0","81","0","0","0","0","0","81",5.9,472
"5000Bryce","16","0","18","0","47","0","0","0","0","18","81",NA,508
"5050BrookburyBlvd","2","0","74","0","5","0","0","0","0","74","81",9.9,299
"5901CountryManorLn","5","0","0","0","76","0","0","0","0","0","81",3.5,161
"6135Cogbill","17","0","0","0","64","0","0","0","0","0","81",NA,NA
"6200Halrose","39","0","2","0","40","0","0","0","0","2","81",NA,NA
"6306PhobusDr","55","0","3","0","23","0","0","0","0","3","81",2.6,49
"6525Corcoran","39","0","0","0","42","0","0","0","0","0","81",4,161
"6601IrongateSq","3","0","0","0","78","0","0","0","0","0","81",NA,NA
"6618Cyrus","54","0","0","0","27","0","0","0","0","0","81",5.7,360
"6716WilmothDr","29","0","49","0","3","0","0","0","0","49","81",NA,NA
"7508HilmarDr","45","0","23","0","13","0","0","0","0","23","81",4.4,535
"7618RobinwoodDr","0","0","81","0","0","0","0","0","0","81","81",3.3,87
"7900MillRiverLn","74","0","0","0","7","0","0","0","0","0","81",7.7,358
"tree2CountryManorLn","44","0","0","0","37","0","0","0","0","0","81",4,58
